"44,""Negatif"",""Burung Garuda tidak dapat menyampaikan pesan kebangsaan yang kuat dan jelas."""
"45,""Negatif"",""Desain ini terasa tidak relevan bagi generasi muda yang lebih modern."""
"46,""Negatif"",""Burung Garuda dianggap tidak mewakili aspirasi dan harapan masyarakat saat ini."""
"47,""Negatif"",""Desain ini tampak statis dan tidak memiliki dinamika yang menarik."""
"48,""Negatif"",""Burung Garuda kehilangan keanggunan dan keindahannya dalam desain yang ada."""
"49,""Negatif"",""Desain ini terkesan lebih mengutamakan estetika daripada makna yang mendalam."""
"50,""Negatif"",""Burung Garuda tidak berhasil menyentuh hati masyarakat dengan desainnya."""
"51,""Negatif"",""Desain ini dinilai tidak memperhatikan konteks sejarah dan budaya yang ada."""
"52,""Negatif"",""Burung Garuda seharusnya lebih mencerminkan nilai-nilai perjuangan bangsa."""
"53,""Negatif"",""Desain ini terlihat tidak berani dan cenderung aman tanpa inovasi."""
"54,""Negatif"",""Burung Garuda kehilangan semangat juang yang seharusnya ada di dalamnya."""
"55,""Negatif"",""Desain ini tampak terlalu ambisius dan kurang menyentuh sisi kemanusiaan."""
"56,""Negatif"",""Burung Garuda dianggap tidak mampu menjadi simbol harapan bagi masyarakat."""
"57,""Negatif"",""Desain ini tidak menarik perhatian masyarakat dan mudah dilupakan."""
"58,""Negatif"",""Burung Garuda terlihat terlalu generik dan tidak memiliki ciri khas."""
"59,""Negatif"",""Desain ini kurang mencerminkan keberagaman dan kekayaan budaya Indonesia."""
"60,""Negatif"",""Burung Garuda terlihat terlalu mencolok dan kurang harmonis dengan lingkungan."""
"61,""Negatif"",""Desain ini terkesan monoton dan tidak menggugah rasa ingin tahu pengunjung."""
"62,""Negatif"",""Burung Garuda tidak menyampaikan makna yang dalam bagi masyarakat."""
"63,""Negatif"",""Desain ini dianggap tidak mampu menampung nilai-nilai kebangsaan yang ada."""
"64,""Negatif"",""Burung Garuda terlihat tidak memiliki karakter yang kuat dan tegas."""
"65,""Negatif"",""Desain ini tidak berhasil menciptakan suasana yang positif bagi pengunjung."""
"66,""Negatif"",""Burung Garuda kehilangan kesan megah yang seharusnya ditampilkannya."""
"67,""Negatif"",""Desain ini tidak memberikan pengalaman yang menarik bagi masyarakat."""
"68,""Negatif"",""Burung Garuda dianggap tidak mewakili aspirasi dan impian bangsa."""
"69,""Negatif"",""Desain ini terlihat terlalu formal dan tidak ramah bagi pengunjung."""
"70,""Negatif"",""Burung Garuda tidak berhasil menciptakan rasa cinta tanah air yang mendalam."""
"71,""Negatif"",""Desain ini terkesan tidak menyentuh sisi emosional masyarakat."""
"72,""Negatif"",""Burung Garuda terlihat kurang dinamis dan tidak sesuai dengan konteks IKN."""
"73,""Negatif"",""Desain ini dianggap terlalu rumit dan membingungkan bagi banyak orang."""
"74,""Negatif"",""Burung Garuda tidak mampu menggugah rasa bangga yang diharapkan."""
"75,""Negatif"",""Desain ini tidak menunjukkan keunikan budaya yang seharusnya ada."""
"76,""Negatif"",""Burung Garuda tampak tidak memiliki hubungan yang kuat dengan masyarakat."""
"77,""Negatif"",""Desain ini terlihat datar dan tidak menonjol di antara elemen lainnya."""
"78,""Negatif"",""Burung Garuda kehilangan daya tarik yang diharapkan oleh masyarakat."""
"79,""Negatif"",""Desain ini tidak mampu menciptakan rasa keterhubungan dengan masyarakat."""
"80,""Negatif"",""Burung Garuda tidak menunjukkan keindahan seni yang diharapkan dari desain."""
"81,""Negatif"",""Desain ini tampak tidak relevan dan kurang menggugah imajinasi masyarakat."""
"82,""Negatif"",""Burung Garuda dianggap tidak dapat menggambarkan semangat persatuan bangsa."""
"83,""Negatif"",""Desain ini terlihat kaku dan tidak bisa beradaptasi dengan perubahan zaman."""
"84,""Negatif"",""Burung Garuda tidak mampu memberikan inspirasi bagi generasi muda."""
"85,""Negatif"",""Desain ini dianggap kurang memiliki pesan yang kuat dan mendalam."""
"86,""Negatif"",""Burung Garuda tampak tidak memiliki hubungan emosional dengan masyarakat."""
"87,""Negatif"",""Desain ini terlihat monoton dan tidak mampu menarik perhatian wisatawan."""
"88,""Negatif"",""Burung Garuda kehilangan esensi yang seharusnya menjadi kekuatannya."""
"89,""Negatif"",""Desain ini tidak menciptakan pengalaman yang berkesan bagi pengunjung."""
"90,""Negatif"",""Burung Garuda tampak terlalu biasa dan tidak mencerminkan kekuatan bangsa."""
"91,""Negatif"",""Desain ini dianggap tidak mampu menyampaikan nilai-nilai kebudayaan yang ada."""
"92,""Negatif"",""Burung Garuda tidak menunjukkan keanggunan yang diharapkan dari simbol negara."""
"93,""Negatif"",""Desain ini terlihat tidak kreatif dan kurang memiliki elemen kejutan."""
"94,""Negatif"",""Burung Garuda dianggap tidak cukup menggugah rasa patriotisme masyarakat."""
"95,""Negatif"",""Desain ini tidak memberikan makna yang dalam bagi pengunjung IKN."""
"96,""Negatif"",""Burung Garuda tidak dapat menyampaikan rasa cinta tanah air yang seharusnya."""
"97,""Negatif"",""Desain ini terlihat tidak berani dan kurang mencerminkan identitas bangsa."""
"98,""Negatif"",""Burung Garuda dianggap tidak sesuai dengan harapan masyarakat terhadap seni."""
"99,""Negatif"",""Desain ini tidak cukup menarik untuk dijadikan ikon IKN yang baru."""
"100,""Negatif"",""Burung Garuda tidak mampu menciptakan suasana yang ramah dan menyenangkan."""
